lat,temperature,humidity,cloudiness,windspeed
54.23,33.27799999999996,72,30,5.52747874
-16.84,68.95399999999995,88,5,3.7110834600000002
22.08,82.66999999999996,74,75,16.105968
6.19,80.86999999999996,88,75,3.20329808
-23.58,83.46199999999996,49,16,8.1424616
-45.41,48.83000000000004,86,97,1.4003244400000001
-26.98,61.98800000000004,93,93,5.122592600000001
6.21,73.058,97,100,3.9481991
50.15,52.25,90,52,5.778016020000001
-25.24,77.26999999999995,29,38,16.105968
48.95,52.069999999999965,93,75,11.408394
-20.34,71.86999999999996,83,75,5.816044000000001
17.95,72.26600000000002,94,24,4.33295278
42.77,64.27400000000002,100,90,19.461378
40.29,42.674000000000014,48,24,7.525066160000001
40.25,67.26199999999996,89,0,4.0041226000000005
9.11,71.86999999999996,94,20,4.697574
67.47,25.898000000000025,89,100,21.94661834
37.14,60.27799999999996,76,16,3.35541
-46.13,56.26400000000004,78,100,2.9974996000000003
-28.0,84.27200000000005,65,17,20.803542000000004
-12.97,77.26999999999995,83,75,11.408394
24.47,82.66999999999996,78,0,5.816044000000001
59.1,42.403999999999954,84,100,12.032500259999999
-26.02,73.90399999999995,33,32,10.60085866
70.62,11.803999999999949,95,95,7.59664824
5.28,84.46999999999997,79,75,2.23694
6.8,80.86999999999996,94,20,4.697574
27.93,65.89399999999998,69,0,3.11605742
-27.01,59.99000000000002,78,67,5.34181272
38.05,66.46999999999997,72,40,4.697574
21.39,88.26799999999999,48,1,10.289924
-11.37,71.16799999999998,58,36,8.37062948
-33.13,46.66999999999996,100,90,9.171454
28.9,63.28399999999999,25,0,7.92324148
-22.97,73.04000000000002,91,5,9.677002439999999
-34.0,58.190000000000026,69,3,4.708758700000001
10.96,76.92799999999997,84,100,1.03570322
69.7,31.49600000000005,82,82,3.8945125400000005
60.75,23.558000000000003,87,99,3.13618988
56.29,45.40999999999998,91,70,9.95885688
19.71,86.26999999999995,58,20,9.171454
5.33,88.06999999999996,66,75,3.35541
16.86,84.46999999999997,83,90,9.171454
-21.64,74.84000000000003,87,0,10.54046128
67.67,44.041999999999994,58,88,2.53668996
11.0,79.46600000000001,81,42,10.34137362
11.28,82.88599999999997,76,53,7.079915100000001
66.83,28.166000000000007,81,99,22.825735760000004
5.35,79.34000000000003,79,30,4.86758144
-8.84,78.29600000000005,68,39,2.86552014
60.91,28.66999999999996,63,0,1.11847
-22.95,61.26799999999999,82,0,6.934514000000001
-0.72,79.44800000000004,84,95,12.26737896
-46.43,49.424000000000014,69,99,18.07000132
43.56,61.26799999999999,51,15,4.697574
